sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
122,24.205232,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,24360
123,24.400446,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,24557
124,24.605477,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,24752
125,24.805411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,24970
126,25.005423,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,25166
127,25.202738,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,25361
128,25.40067,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,25555
129,25.605364,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,25739
130,25.803762,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,25970
131,26.002235,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,26163
132,26.205432,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,26363
133,26.405413,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,26547
134,26.601625,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,26770
135,26.801619,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,26903
136,27.000436,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,27136
137,27.20542,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,27319
138,27.401629,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,27552
139,27.60542,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,27770
140,27.801617,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,27954
141,28.00544,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,28121
142,28.20542,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,28318
143,28.401616,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,28536
144,28.605421,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,28735
145,28.805417,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,28969
146,29.001614,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,29137
147,29.205412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,29370
148,29.405412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,29553
